id,split,claude-opus-4-6,ft:gpt-4.1-2025-04-14:luca-tramonti:report-extractor:DOcFh6T3,ft:gpt-4.1-nano-2025-04-14:luca-tramonti:report-extractor-oversampling:DPqaFyZI:ckpt-step-486,ft:gpt-4.1-nano-2025-04-14:luca-tramonti:report-extractor:DNDCPvfn,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14_MMR,gpt-4.1-nano-2025-04-14_few-shots,gpt-5.4-2026-03-05,iltramont/llama-3b-report-extractor,mistral-large-2512
51,validation,0.9717514124293786,0.8870056497175142,0.8474576271186441,0.743879472693032,0.8870056497175142,0.8305084745762712,0.6214689265536724,0.7062146892655368,0.7062146892655368,0.8305084745762712,0.6779661016949153,0.943502824858757
57,validation,0.8116760828625236,0.8022598870056498,0.6892655367231638,0.6327683615819208,0.8681732580037665,0.8399246704331451,0.7344632768361582,0.6779661016949153,0.687382297551789,0.9246704331450095,0.6120527306967986,0.9058380414312617
61,validation,0.8615819209039548,0.852165725047081,0.852165725047081,0.852165725047081,0.739171374764595,0.795668549905838,0.7816891206721716,0.649862378675938,0.649862378675938,0.7457627118644068,0.6591337099811676,0.739171374764595
66,validation,0.9741054613935971,0.9811676082862524,0.9717514124293786,0.9717514124293786,0.9345574387947269,0.9246704331450095,0.7627118644067797,0.7062146892655368,0.6779661016949153,0.9152542372881356,0.6779661016949153,0.896421845574388
73,validation,0.9934086629001883,0.9966101694915255,0.9649717514124293,0.9887005649717514,0.9938366718027735,0.9081920903954802,0.8474576271186441,0.8474576271186441,0.8474576271186441,1.0,0.9246704331450095,0.9966101694915255
75,validation,0.943502824858757,0.9350282485875707,0.903954802259887,0.8512241054613936,0.8220338983050848,0.7655367231638419,0.6497175141242938,0.6497175141242938,0.7062146892655368,0.943502824858757,0.7909604519774012,0.8832391713747646
77,validation,0.7740112994350282,0.9717514124293786,0.8587570621468926,0.6892655367231638,0.7740112994350282,0.7457627118644068,0.6497175141242938,0.6214689265536724,0.5649717514124294,1.0,0.736346516007533,0.8305084745762712
79,validation,0.9934086629001883,0.9934086629001883,0.9887005649717514,0.9887005649717514,0.965588084232152,0.9372253609541745,0.7627118644067797,0.8097928436911488,0.8192090395480226,1.0,0.8333733248987487,0.9966101694915255
85,validation,0.8305084745762712,0.8870056497175142,0.8022598870056498,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7627118644067797,0.7344632768361582,0.7344632768361582,0.8022598870056498,0.903954802259887,0.7457627118644068
98,validation,0.7048695184288405,0.661487758945386,0.5932203389830508,0.6468926553672316,0.661487758945386,0.6779661016949153,0.4915254237288135,0.6327683615819208,0.6271186440677967,0.6332391713747646,0.33898305084745767,0.800376647834275
104,validation,0.943502824858757,0.943502824858757,0.943502824858757,0.943502824858757,0.943502824858757,0.8870056497175142,0.7909604519774012,0.8022598870056498,0.8022598870056498,0.943502824858757,0.8135593220338984,0.9152542372881356
110,validation,0.9152542372881356,0.9152542372881356,0.8587570621468926,0.8587570621468926,0.7909604519774012,0.7062146892655368,0.6892655367231638,0.7457627118644068,0.7457627118644068,0.903954802259887,0.9152542372881356,0.6779661016949153
116,validation,0.9703389830508475,0.8844946641556811,0.8757062146892656,0.8074387947269304,0.8192090395480226,0.7597524885660478,0.5932203389830508,0.6685499058380414,0.6685499058380414,0.8573446327683617,0.6591337099811676,0.8837772397094431
119,validation,0.9152542372881356,0.9717514124293786,0.9152542372881356,0.9152542372881356,0.9717514124293786,0.9717514124293786,0.8192090395480226,0.8229755178907722,0.8229755178907722,0.9152542372881356,0.8757062146892656,0.943502824858757
125,validation,0.7740112994350282,0.7763653483992468,0.7740112994350282,0.8022598870056498,0.8046139359698682,0.7937853107344633,0.6308851224105462,0.6026365348399246,0.6308851224105462,0.6986817325800377,0.5932203389830508,0.85969868173258
132,validation,0.8234463276836158,0.788135593220339,0.7740112994350282,0.7834274952919021,0.7509416195856874,0.7387005649717514,0.862994350282486,0.743879472693032,0.6779661016949153,0.844632768361582,0.6779661016949153,0.7693032015065914
135,validation,0.943502824858757,0.943502824858757,0.943502824858757,0.7966101694915254,0.9322033898305085,0.8757062146892656,0.743879472693032,0.7815442561205272,0.7627118644067797,0.8234463276836158,0.6026365348399246,0.8870056497175142
138,validation,0.8804143126177024,0.9369114877589454,0.9322033898305085,0.9322033898305085,0.9369114877589454,0.9401129943502825,0.7627118644067797,0.8757062146892656,0.8192090395480226,0.943502824858757,0.8662900188323918,0.9401129943502825
141,validation,0.9689265536723164,0.903954802259887,0.9389830508474577,0.9096045197740115,0.7655367231638419,0.880225988700565,0.7062146892655368,0.7062146892655368,0.7062146892655368,0.9124293785310734,0.8474576271186441,0.9067796610169492
142,validation,0.9096045197740115,0.824858757062147,0.7062146892655368,0.7062146892655368,0.8836158192090396,0.824858757062147,0.536723163841808,0.536723163841808,0.5932203389830508,0.8305084745762712,0.5932203389830508,0.8870056497175142
157,validation,0.9347143753923415,0.8782172002510986,0.8192090395480226,0.7570621468926554,0.7652228499686127,0.8173258003766479,0.5720338983050848,0.5790960451977402,0.635593220338983,0.8220338983050848,0.5649717514124294,0.8146892655367232
165,validation,0.7627118644067797,1.0,0.8305084745762712,0.8757062146892656,0.6327683615819208,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.943502824858757,0.9717514124293786,0.6779661016949153
166,validation,0.8870056497175142,0.9717514124293786,0.7062146892655368,0.7231638418079097,0.9152542372881356,0.8474576271186441,0.7231638418079097,0.7796610169491526,0.7231638418079097,0.903954802259887,0.8399246704331451,0.6779661016949153
170,validation,0.9811676082862524,0.9152542372881356,0.7080979284369116,0.7457627118644068,0.9246704331450095,0.8681732580037665,0.7758945386064031,0.7080979284369116,0.7062146892655368,0.8022598870056498,0.7344632768361582,0.952919020715631
174,validation,0.8022598870056498,0.8022598870056498,0.7909604519774012,0.7909604519774012,0.7457627118644068,0.8192090395480226,0.7627118644067797,0.7627118644067797,0.7627118644067797,0.8305084745762712,0.8531073446327684,0.7740112994350282
177,validation,0.9180790960451978,0.8615819209039548,0.8757062146892656,0.903954802259887,0.8587570621468926,0.8192090395480226,0.5932203389830508,0.7231638418079097,0.7514124293785311,0.8474576271186441,0.576271186440678,0.8474576271186441
179,validation,0.8363797496399691,0.9041763598094605,0.8966434031239615,0.8401462279827185,0.8646283372105905,0.7798825744987261,0.6214689265536724,0.6073446327683616,0.6073446327683616,0.8194305970975961,0.7516339869281047,0.8401462279827185
184,validation,0.9001883239171375,0.9058380414312617,0.8154425612052731,0.8154425612052731,0.8945386064030132,0.8436911487758946,0.6516007532956686,0.5480225988700564,0.6045197740112994,0.8493408662900188,0.6346516007532957,0.871939736346516
188,validation,0.8662900188323917,0.9227871939736346,0.9416195856873822,0.8757062146892656,0.9058380414312617,0.7645951035781544,0.6516007532956686,0.7269303201506592,0.6704331450094162,0.8380414312617702,0.67984934086629,0.9322033898305085
192,validation,0.937046004842615,0.9350282485875707,0.9887005649717514,0.9386602098466506,0.9951573849878935,0.8512241054613936,0.6779661016949153,0.7627118644067797,0.7627118644067797,0.9416195856873824,0.8380414312617703,0.9951573849878935
193,validation,0.9717514124293786,0.9811676082862524,0.9246704331450095,0.943502824858757,0.9698681732580037,0.7721280602636534,0.5649717514124294,0.6214689265536724,0.6497175141242938,0.9811676082862524,0.8150240636116343,0.9811676082862524
195,validation,0.9152542372881356,0.9152542372881356,0.9322033898305085,0.903954802259887,0.9717514124293786,0.9152542372881356,0.6214689265536724,0.5649717514124294,0.5932203389830508,0.8870056497175142,0.6497175141242938,0.943502824858757
198,validation,0.903954802259887,0.9096045197740115,0.9096045197740115,0.9096045197740115,0.9533898305084746,0.78954802259887,0.6897363465160075,0.6967984934086628,0.6967984934086628,0.8757062146892656,0.8192090395480226,0.9378531073446329
202,validation,0.9332306111967128,0.9887005649717514,1.0,0.9887005649717514,0.9887005649717514,0.9887005649717514,0.4858757062146893,0.6497175141242938,0.6497175141242938,1.0,0.9887005649717514,0.9967715899919289
